Year,Sheriffdom,Court,Postcode,X_Easting,Y_Northing,Latitude,Longitude,fp_ValImp,fp_ValPaid,fp_ValDis,cr_ValReg,cr_ValDis,cr_TotValtbp,cr_ValPaidtd,cr_Valpot,cr_ValArrears,cr_ValFinesptd_percent,fp_NumImp,fp_NumFullyPaid,fp_NumDischa,cr_NumReg,cr_NumDischa,cr_Numtbp,cr_NumFullyPaid,cr_Numpot,cr_NumArrears,cr_NumNoPayRec,cr_NumFullyPaid_percent
y20_21,Grampian Highland & Islands,Wick,KW1 4AJ,336297,951073,58.443292,-3.0929368,2 ,0 ,2 ,2 ,0 ,2 ,0 ,0 ,1 ,0.27 ,41,8,33,27,0,27,4,6,0,17,0.34 
y20_21,North Strathclyde,Campbeltown,PA28 6AN,171820,620242,55.422797,-5.6073665,2 ,0 ,2 ,3 ,0 ,3 ,0 ,0 ,2 ,0.21 ,44,14,30,30,0,30,3,3,0,24,0.39 
y20_21,North Strathclyde,Dumbarton,G82 1QR,239824,675344,55.94436,-4.5663808,30 ,10 ,20 ,32 ,0 ,32 ,6 ,4 ,21 ,0.39 ,734,269,465,487,8,479,91,56,5,327,0.48 
y20_21,North Strathclyde,Dunoon,PA23 8BQ,217382,676935,55.950637,-4.9263184,2 ,1 ,1 ,2 ,0 ,2 ,1 ,1 ,0 ,0.58 ,43,20,23,25,0,25,9,8,0,8,0.64 
y20_21,North Strathclyde,Greenock,PA15 1TR,227427,676390,55.949459,-4.7653095,16 ,2 ,14 ,20 ,1 ,19 ,2 ,7 ,10 ,0.20 ,311,57,254,261,11,250,32,86,2,130,0.29 
y20_21,North Strathclyde,Kilmarnock,KA1 1ED,242635,637691,55.607305,-4.4996806,13 ,3 ,9 ,14 ,0 ,14 ,3 ,2 ,8 ,0.38 ,288,95,193,201,3,198,42,41,5,110,0.47 
y20_21,North Strathclyde,Lochgilphead,PA23 8BQ,217382,676935,55.950637,-4.9263184,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0,0,0,0,0,0,0,0.00 
y20_21,North Strathclyde,Oban,PA34 4AL,185724,729696,56.410731,-5.4749228,3 ,0 ,2 ,3 ,0 ,3 ,1 ,1 ,1 ,0.34 ,49,12,37,36,0,36,11,8,0,17,0.48 
y20_21,North Strathclyde,Paisley,PA3 2HW,248161,664380,55.84865,-4.426872,16 ,5 ,11 ,19 ,0 ,18 ,4 ,3 ,11 ,0.40 ,416,142,274,297,7,290,58,63,2,167,0.46 
y20_21,"South Strathclyde, Dumfries & Galloway",Airdrie,ML6 6EE,276407,665402,55.865896,-3.9765052,14 ,3 ,11 ,16 ,0 ,16 ,3 ,1 ,12 ,0.29 ,315,68,247,248,1,247,38,16,3,190,0.34 
y20_21,"South Strathclyde, Dumfries & Galloway",Ayr,KA7 1EE,233271,621791,55.461472,-4.6385792,7 ,2 ,5 ,8 ,0 ,8 ,1 ,1 ,7 ,0.27 ,162,46,116,123,1,122,14,9,3,96,0.36 
